Date,Product,Category,Quantity,Sales,Profit
2025-01-01,Laptop,Electronics,11,778608.47,82284.02
2025-02-01,Mobile,Electronics,12,308879.26,31457.07
2025-03-01,Headphones,Accessories,23,60719.48,8761.51
2025-04-01,Tablet,Electronics,25,566683.98,101510.19
2025-05-01,Laptop,Electronics,26,1465100.67,265300.18
2025-06-01,Mobile,Electronics,10,212558.41,46531.08
2025-07-01,Headphones,Accessories,5,14119.09,2166.8
2025-08-01,Tablet,Electronics,16,301635.39,46291.52
2025-09-01,Laptop,Electronics,14,786239.73,170083.92
2025-10-01,Mobile,Electronics,19,468739.97,89025.27
2025-11-01,Headphones,Accessories,23,66566.96,14488.45
2025-12-01,Tablet,Electronics,29,551190.61,90977.47
2026-01-01,Laptop,Electronics,25,1600868.39,131042.43
2026-02-01,Mobile,Electronics,29,826274.97,159616.19
2026-03-01,Headphones,Accessories,13,33336.81,3744.56
2026-04-01,Tablet,Electronics,19,440981.25,72938.09
2026-05-01,Laptop,Electronics,12,671046.91,139111.28
2026-06-01,Mobile,Electronics,8,180934.17,33608.63
2026-07-01,Headphones,Accessories,10,27371.47,4365.15
2026-08-01,Tablet,Electronics,22,523949.29,110830.91
2026-09-01,Laptop,Electronics,100,250000.0,50000.0
2026-10-01,Mobile,Electronics,12,306339.96,46844.52
2026-11-01,Headphones,Accessories,12,39720.97,7333.48
2026-12-01,Tablet,Electronics,19,459223.68,59674.04
2027-01-01,Laptop,Electronics,17,985966.38,189608.81
2027-02-01,Mobile,Electronics,5,106836.37,14879.76
2027-03-01,Headphones,Accessories,5,13644.22,1102.09
2027-04-01,Tablet,Electronics,15,300185.4,53909.66
2027-05-01,Laptop,Electronics,7,492028.4,44462.76
2027-06-01,Mobile,Electronics,11,287463.85,59819.61
2027-07-01,Headphones,Accessories,13,40442.59,5108.94
2027-08-01,Tablet,Electronics,20,422948.01,73439.75
2027-09-01,Laptop,Electronics,9,625295.88,105836.36
2027-10-01,Mobile,Electronics,7,173541.28,16788.94
2027-11-01,Headphones,Accessories,18,59652.4,10799.6
2027-12-01,Tablet,Electronics,27,642286.35,95785.05
2028-01-01,Laptop,Electronics,13,898403.04,85819.69
2028-02-01,Mobile,Electronics,17,386969.2,79486.14
2028-03-01,Headphones,Accessories,21,59491.33,8995.08
2028-04-01,Tablet,Electronics,9,183107.96,25168.85
2028-05-01,Laptop,Electronics,15,888145.41,188286.38
2028-06-01,Mobile,Electronics,11,257654.49,26427.87
2028-07-01,Headphones,Accessories,6,18671.51,2266.51
2028-08-01,Tablet,Electronics,25,611291.0,117682.13
2028-09-01,Laptop,Electronics,16,1013951.1,206500.51
2028-10-01,Mobile,Electronics,30,664969.79,86367.4
2028-11-01,Headphones,Accessories,5,13974.6,2385.14
2028-12-01,Tablet,Electronics,29,698868.03,140124.63
